id,Label
1,Armenia
2,Australia
3,Austria
4,Azerbaijan
5,Belarus
6,Belgium
7,Canada
8,China
9,Croatia
10,Czechia
11,Denmark
12,Estonia
13,Falkland Islands (UK)
14,Finland
15,France
16,Georgia
17,Germany
18,Greece
19,Hungary
20,Italy
21,Moldova
22,Netherlands
23,New Zealand
24,Norway
25,Poland
26,Portugal
27,Romania
28,Russia
29,Serbia
30,Slovakia
31,Slovenia
32,South Africa
33,Spain
34,Sri Lanka
35,Sweden
36,Switzerland
37,Tajikistan
38,The Netherlands
39,Tunisia
40,Turkey
41,UK
42,Ukraine
43,Ukraine (occupied Crimea)
44,Ukraine(Occupied Luhansk)
45,United Kingdom
46,USA
